Trial xyz data filename,SVL*,Frame rate,Total number of raw frames digitised**,Frames of steady forward locomotion**,First frame**,Final frame**,Number of frames  - End of Frames**,Start of Stance ***,Start of Swing ***,Start of limb cycle ***,End of limb cycle ***,Frames in single stride ***,Duration of single stride (s) *,Animal File name for Exporting
KM01_RUN_02_xyzPOINTS.dat,62.55,250,678,1-end,1,678,678,45,405,45,492,448,1.792,KM01_RUN_02
KM02_RUN_01_xyzPOINTS.dat,55.55,250,316,1-end,1,316,316,48,195,48,255,208,0.832,KM02_RUN_01
KM02_RUN_02_xyzPOINTS.dat,55.55,250,452,1-end,1,452,452,126,316,126,414,289,1.156,KM02_RUN_02
KM02_RUN_09_xyzPOINTS.dat,55.55,250,576,60-end,60,400,341,79,199,79,251,172,0.688,KM02_RUN_09
KM04_RUN_09_xyzPOINTS.dat,59.83,250,317,1-end,1,317,317,84,207,84,250,166,0.664,KM04_RUN_09
KM04_RUN_11_xyzPOINTS.dat,59.83,250,306,1-end,1,306,306,43,179,43,225,182,0.728,KM04_RUN_11
KM04_RUN_12_xyzPOINTS.dat,59.83,250,238,1-end,1,238,238,38,143,38,217,179,0.716,KM04_RUN_12
KM05_RUN_04_xyzPOINTS.dat,57.6,250,261,24-end,24,261,238,28,165,28,219,191,0.764,KM05_RUN_04
KM05_RUN_08_xyzPOINTS.dat,57.6,250,225,1-200,1,200,200,4,104,4,150,146,0.584,KM05_RUN_08
KM06_RUN_11_xyzPOINTS.dat,47.38,250,413,1-384,1,384,384,16,151,16,193,178,0.712,KM06_RUN_11
KM06_RUN_12_xyzPOINTS.dat,47.38,250,176,1-end,1,176,176,46,111,46,149,104,0.416,KM06_RUN_12
KM06_RUN_13_xyzPOINTS.dat,47.38,250,238,1-end,1,238,238,104,184,104,224,121,0.484,KM06_RUN_13
KM06_RUN_15_xyzPOINTS.dat,47.38,250,352,60-end,60,352,293,22,137,22,171,150,0.6,KM06_RUN_15
KM06_RUN_16_xyzPOINTS.dat,47.38,250,321,1-end,1,321,321,29,141,29,180,151,0.604,KM06_RUN_16
KM07_RUN_14_xyzPOINTS.dat,45.06,250,172,11-end,11,172,162,1,63,1,92,92,0.368,KM07_RUN_14
KM07_RUN_16_xyzPOINTS.dat,45.06,250,121,1-end,1,121,121,37,90,37,120,83,0.332,KM07_RUN_16
KM07_RUN_17_xyzPOINTS.dat,45.06,250,120,25-end,25,120,96,1,51,1,81,81,0.324,KM07_RUN_17
KM08_RUN_09_xyzPOINTS.dat,56.03,250,197,1-end,1,197,197,25,107,25,135,111,0.444,KM08_RUN_09
KM08_RUN_10_xyzPOINTS.dat,56.03,250,351,1-end,1,351,351,19,169,19,223,205,0.82,KM08_RUN_10
KM23_RUN_01_xyzPOINTS.dat,47.25,250,185,1-end,1,185,185,8,71,8,105,97,0.388,KM23_RUN_01
KM23_RUN_02_xyzPOINTS.dat,47.25,250,166,1-end,1,166,166,13,85,13,132,119,0.476,KM23_RUN_02
KM23_RUN_03_xyzPOINTS.dat,47.25,250,141,1-end,1,141,141,10,73,10,103,93,0.372,KM23_RUN_03
KM23_RUN_05_xyzPOINTS.dat,47.25,250,335,38-232,38,232,195,48,139,48,170,122,0.488,KM23_RUN_05
